Name of the Organization,Salary Per Annum (Rs. In Lakhs),ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,MCA,MTech/ CSE,M.E/ ECE,M.E/ EEE,"M.E/
Cad/Cam",ME/ CIVIL,MBA,TOTAL,Year,ME / VLSI,ME/ THERMAL,MTech/ CNIS,ME/ Stru
Frontier Business Systems MBA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,19,0.0,0.0,0.0,
Cyient,3.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,0.0,0.0,0.0,
Kotak Mahindra Bank Ltd   MBA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,19,0.0,0.0,0.0,
Aarvee Associates,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19,0.0,0.0,0.0,
Hitachi Consulting,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,0.0,0.0,0.0,
"Tecnicas Reunidas Engineers
India Pvt Ltd",2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,0.0,0.0,0.0,
Water Health,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,0.0,0.0,0.0,
Medha Servo Drives Pvt Ltd.,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19,0.0,0.0,0.0,
D.E.Shaw Group Intern,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Microsoft Intern,80000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
HDFC AMC MBA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,20,0.0,0.0,0.0,
Unisys Internship,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
ITC,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Aurobindo Pharma Limited,3.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,0.0,0.0,0.0,
KoffeMedia/Nuronics,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,7,20,0.0,0.0,0.0,
Kore.ai,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Darwinbox,8.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Accolite Software Pvt Ltd,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20,0.0,0.0,0.0,
Microsoft 2020,41.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
JPMorgan Chase & Co.,14.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,20,0.0,0.0,0.0,
EPAM Ltd,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
"Magnitude Software Ind Pvt.Ltd,",7.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Deloitte USI,7.6,16.0,27.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,20,0.0,0.0,0.0,
Oracle,9.5,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,20,0.0,0.0,0.0,
Hyundai Mobis R&D,4.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20,0.0,0.0,0.0,
Factset,8.9,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
Jaro Education,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Byju's,10.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,20,0.0,0.0,0.0,
HackWithInfy  Infosys SEP,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
Loyalty Juggernaut India P Ltd,7.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,0.0,0.0,0.0,
Delhivery,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,0.0,0.0,0.0,
NCR Corporation,7.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,20,0.0,0.0,0.0,
Just Dial,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8,20,0.0,0.0,0.0,
TCS NQT Ninja,3.6,42.0,26.0,9.0,29.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,116,20,0.0,0.0,0.0,
Larsen Toubro Infotech (LTI),5.5,41.0,41.0,9.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,20,0.0,0.0,0.0,
Larsen Toubro Infotech (LTI),6.5,4.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,20,0.0,0.0,0.0,
Dr Reddy's Lab,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,0.0,0.0,0.0,
Cognizant,4.0,29.0,17.0,11.0,15.0,17.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,98,20,0.0,0.0,0.0,
Infosys INFYTQ,4.0,46.0,29.0,31.0,22.0,36.0,2.0,13.0,7.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,196,20,0.0,0.0,0.0,
TechnipFMC Technologies Ltd,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20,0.0,0.0,0.0,
Next Education,5.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
Deloitte USI Tax,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5,20,0.0,0.0,0.0,
Accenture Freshers Minds pool,4.5,56.0,21.0,10.0,27.0,23.0,6.0,10.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,173,20,0.0,0.0,0.0,
Hexagon Capability Centre,5.5,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
IBM,4.7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,0.0,0.0,0.0,
MicronTechnology,7.5,14.0,20.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,20,0.0,0.0,0.0,
Hitachi Consulting,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
VEDA IIT,3.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Volante Software Pvt Ltd,4.5,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20,0.0,0.0,0.0,
Hindustan Unilever,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Cultfit,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,20,0.0,0.0,0.0,
ITC,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Sales Force Com Pvt Ltd,11.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
GE Appliances Intern,20000.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
ZF Technologies,4.3,5.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,20,0.0,0.0,0.0,
Unistring Tech Solutions (UTS),3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,20,0.0,0.0,0.0,
S2Tech Com India Pvt Ltd MBA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
Verizon,5.5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20,0.0,0.0,0.0,
Gingerboard pool,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,0.0,0.0,0.0,
JK Technosoft,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Invesco Hack2Hire pool,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Modak Analytics,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,20,0.0,0.0,0.0,
Google,10.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20,0.0,0.0,0.0,
Godrej & Boyce Mfg Co,5.5,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,0.0,0.0,0.0,
Kotak Life Insurance,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6,20,0.0,0.0,0.0,
Value Labs MBA pool,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
MRF Ltd,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
TCS pool,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,20,0.0,0.0,0.0,
Invesco  Pvt Ltd MBA,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
Raam Group MBA,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,20,0.0,0.0,0.0,
IBM (Off Campus),4.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Berkadia,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10,20,0.0,0.0,0.0,
Unisys Internship,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Amazon Internship,60000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Prudent Lighting Solutions pool,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
KSR Eyecare Pvt Ltd pool,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
Reliance Jio Infocomm Limited,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12,20,0.0,0.0,0.0,
Arohan MBA,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
Merilytics Core,4.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
ServiceNow Internship,45000.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20,0.0,0.0,0.0,
Colruyt Internship,10000.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
Dyson Technology India Pvt Ltd,5.1,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,20,0.0,0.0,0.0,
Coign consultants Pvt Ltd Intern,15000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Sai Life Sciences,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,0.0,0.0,0.0,
Blue Star Limited   pool,5.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
AutoRABIT Internship,10000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Campus Marg Consulting P Ltd,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
Modak Analytics Off Campus,4.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0.0,0.0,0.0,
Simply Grow Technologies Int,10000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Hyundai Motors Pvt Ltd,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Lido Learning,3.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,20,0.0,0.0,0.0,
Microchip,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,1.0,0.0,0.0,
SarvHR MBA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
Diagnostic BioSystems (DBS),4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,20,0.0,0.0,0.0,
R2 Seeds Pvt Ltd pool,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,20,0.0,0.0,0.0,
Invesco Pvt Ltd MBA,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5,20,0.0,0.0,0.0,
Tata Advanced Systems P Ltd,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Arcesium India Pvt Ltd Intern,60000.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20,0.0,0.0,0.0,
EA Games India (P) Ltd,12.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
JK Paper Mills Ltd,3.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20,0.0,0.0,0.0,
Deloitte MF Tax Internship MBA,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9,20,0.0,0.0,0.0,
Ford Motors Pvt Ltd,5.5,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,0.0,0.0,0.0,
Aurobindo Pharma Limited,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,0.0,0.0,0.0,
"Cognizant ""NEXT""",6.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Orient Cement (Girls),4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,
Wiley,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0.0,
Cognizant CIS off Campus,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,20,0.0,0.0,0.0,
ServiceNow,25.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10,21,0.0,0.0,0.0,0.0
Goldman Sachs Service,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
JPMC On Campus & PPO ,14.0,1.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36,21,0.0,0.0,0.0,0.0
Deloitte Tax On Campus & PPO MBA,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,9,21,0.0,0.0,0.0,0.0
Micron,8.1,10.0,15.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31,21,0.0,0.0,0.0,0.0
Oracle FSGBU and NetSuite,11.5,2.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22,21,0.0,0.0,0.0,0.0
Accolite,12.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
FactSet,8.9,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,21,0.0,0.0,0.0,0.0
"Deloitte, Tax & Audit",7.6,23.0,25.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,68,21,0.0,0.0,0.0,0.0
Google PPO,11.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
HackWithInfy Sytem Engineering Specialist (SES),5.0,7.0,49.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79,21,0.0,0.0,0.0,0.0
Larsen & Toubro Infotech Ltd. LTI,5.0,29.0,29.0,7.0,18.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,95,21,0.0,0.0,0.0,0.0
Larsen & Toubro Infotech Ltd. LTI,6.5,5.0,9.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,25,21,0.0,0.0,0.0,0.0
Loyalty Juggernaut India P Ltd,7.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
Capgemini,3.8,25.0,16.0,2.0,11.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,64,21,0.0,0.0,0.0,0.0
HUL,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Accenture,4.5,43.0,32.0,16.0,16.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,118,21,0.0,0.0,0.0,0.0
Merilytics,4.6,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,21,0.0,0.0,0.0,0.0
Raam Group,14.4,3.0,2.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,18,21,0.0,0.0,0.0,0.0
Cognizant GenC,4.0,61.0,24.0,31.0,20.0,11.0,1.0,7.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,,0.0,172,21,0.0,1.0,0.0,1.0
Infosys,4.0,18.0,6.0,12.0,6.0,7.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,60,21,1.0,0.0,0.0,0.0
Cognizant GenC Next,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
Gap Inc.Technology Center,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7,21,0.0,0.0,0.0,0.0
Franklin Templeton MBA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,4,21,0.0,0.0,0.0,0.0
FICO,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
TechnipFMC,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
Berkadia MBA,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,17,21,0.0,0.0,0.0,0.0
Jaro Education,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,4,21,0.0,0.0,0.0,0.0
F5  Networks Innovation Pvt Ltd,23.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8,21,0.0,0.0,0.0,0.0
Hexagon Capability Center India  ,5.5,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7,21,0.0,0.0,0.0,0.0
TCS Ninja / Codevita,3.5,15.0,10.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,41,21,0.0,0.0,0.0,0.0
ThoughtWorks,8.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Abzooba,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
SarvHR MBA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3,21,0.0,0.0,0.0,0.0
Model N,7.3,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,21,0.0,0.0,0.0,0.0
Dr Reddys' Laborataries Ltd,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,21,0.0,0.0,0.0,0.0
